|  SP | White    | Black    | Chess960FEN                                                   |
| 511 | RQNKNRBB | rqnknrbb | [FEN "rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w FAfa - 0 1"] |
| 512 | BBRNQKNR | bbrnqknr | [FEN "bbrnqknr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKNR w HChc - 0 1"] |
| 513 | BRNBQKNR | brnbqknr | [FEN "brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1"] |
| 514 | BRNQKBNR | brnqkbnr | [FEN "brnqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBNR w HBhb - 0 1"] |
| 515 | BRNQKNRB | brnqknrb | [FEN "brnqknrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKNRB w GBgb - 0 1"] |
| 516 | RBBNQKNR | rbbnqknr | [FEN "rbbnqknr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKNR w HAha - 0 1"] |
| 517 | RNBBQKNR | rnbbqknr | [FEN "rnbbqknr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKNR w HAha - 0 1"] |
| 518 | RNBQKBNR | rnbqkbnr | [FEN "rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w HAha - 0 1"] |
| 519 | RNBQKNRB | rnbqknrb | [FEN "rnbqknrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKNRB w GAga - 0 1"] |
| 520 | RBNQBKNR | rbnqbknr | [FEN "rbnqbknr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKNR w HAha - 0 1"] |
| 521 | RNQBBKNR | rnqbbknr | [FEN "rnqbbknr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKNR w HAha - 0 1"] |
| 522 | RNQKBBNR | rnqkbbnr | [FEN "rnqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBNR w HAha - 0 1"] |
| 523 | RNQKBNRB | rnqkbnrb | [FEN "rnqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBNRB w GAga - 0 1"] |
| 524 | RBNQKNBR | rbnqknbr | [FEN "rbnqknbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQKNBR w HAha - 0 1"] |
| 525 | RNQBKNBR | rnqbknbr | [FEN "rnqbknbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBKNBR w HAha - 0 1"] |
| 526 | RNQKNBBR | rnqknbbr | [FEN "rnqknbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQKNBBR w HAha - 0 1"] |
| 527 | RNQKNRBB | rnqknrbb | [FEN "rnqknrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKNRBB w FAfa - 0 1"] |
| 528 | BBRNKQNR | bbrnkqnr | [FEN "bbrnkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQNR w HChc - 0 1"] |
| 529 | BRNBKQNR | brnbkqnr | [FEN "brnbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKQNR w HBhb - 0 1"] |
| 530 | BRNKQBNR | brnkqbnr | [FEN "brnkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNKQBNR w HBhb - 0 1"] |
| 531 | BRNKQNRB | brnkqnrb | [FEN "brnkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKQNRB w GBgb - 0 1"] |
| 532 | RBBNKQNR | rbbnkqnr | [FEN "rbbnkqnr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKQNR w HAha - 0 1"] |
| 533 | RNBBKQNR | rnbbkqnr | [FEN "rnbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKQNR w HAha - 0 1"] |
| 534 | RNBKQBNR | rnbkqbnr | [FEN "rnbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBNR w HAha - 0 1"] |
| 535 | RNBKQNRB | rnbkqnrb | [FEN "rnbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKQNRB w GAga - 0 1"] |
| 536 | RBNKBQNR | rbnkbqnr | [FEN "rbnkbqnr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBQNR w HAha - 0 1"] |
| 537 | RNKBBQNR | rnkbbqnr | [FEN "rnkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBQNR w HAha - 0 1"] |
| 538 | RNKQBBNR | rnkqbbnr | [FEN "rnkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNKQBBNR w HAha - 0 1"] |
| 539 | RNKQBNRB | rnkqbnrb | [FEN "rnkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBNRB w GAga - 0 1"] |
| 540 | RBNKQNBR | rbnkqnbr | [FEN "rbnkqnbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKQNBR w HAha - 0 1"] |
| 541 | RNKBQNBR | rnkbqnbr | [FEN "rnkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBQNBR w HAha - 0 1"] |
| 542 | RNKQNBBR | rnkqnbbr | [FEN "rnkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKQNBBR w HAha - 0 1"] |
| 543 | RNKQNRBB | rnkqnrbb | [FEN "rnkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKQNRBB w FAfa - 0 1"] |
| 544 | BBRNKNQR | bbrnknqr | [FEN "bbrnknqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNQR w HChc - 0 1"] |
| 545 | BRNBKNQR | brnbknqr | [FEN "brnbknqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNQR w HBhb - 0 1"] |
| 546 | BRNKNBQR | brnknbqr | [FEN "brnknbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBQR w HBhb - 0 1"] |
| 547 | BRNKNQRB | brnknqrb | [FEN "brnknqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNQRB w GBgb - 0 1"] |
| 548 | RBBNKNQR | rbbnknqr | [FEN "rbbnknqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNQR w HAha - 0 1"] |
| 549 | RNBBKNQR | rnbbknqr | [FEN "rnbbknqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNQR w HAha - 0 1"] |
| 550 | RNBKNBQR | rnbknbqr | [FEN "rnbknbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBQR w HAha - 0 1"] |
| 551 | RNBKNQRB | rnbknqrb | [FEN "rnbknqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNQRB w GAga - 0 1"] |
| 552 | RBNKBNQR | rbnkbnqr | [FEN "rbnkbnqr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNQR w HAha - 0 1"] |
| 553 | RNKBBNQR | rnkbbnqr | [FEN "rnkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNQR w HAha - 0 1"] |
| 554 | RNKNBBQR | rnknbbqr | [FEN "rnknbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBQR w HAha - 0 1"] |
| 555 | RNKNBQRB | rnknbqrb | [FEN "rnknbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBQRB w GAga - 0 1"] |
| 556 | RBNKNQBR | rbnknqbr | [FEN "rbnknqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKNQBR w HAha - 0 1"] |
| 557 | RNKBNQBR | rnkbnqbr | [FEN "rnkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBNQBR w HAha - 0 1"] |
| 558 | RNKNQBBR | rnknqbbr | [FEN "rnknqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKNQBBR w HAha - 0 1"] |
| 559 | RNKNQRBB | rnknqrbb | [FEN "rnknqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNQRBB w FAfa - 0 1"] |
| 560 | BBRNKNRQ | bbrnknrq | [FEN "bbrnknrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNRQ w GCgc - 0 1"] |
| 561 | BRNBKNRQ | brnbknrq | [FEN "brnbknrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNRQ w GBgb - 0 1"] |
| 562 | BRNKNBRQ | brnknbrq | [FEN "brnknbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBRQ w GBgb - 0 1"] |
| 563 | BRNKNRQB | brnknrqb | [FEN "brnknrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNRQB w FBfb - 0 1"] |
| 564 | RBBNKNRQ | rbbnknrq | [FEN "rbbnknrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNRQ w GAga - 0 1"] |
| 565 | RNBBKNRQ | rnbbknrq | [FEN "rnbbknrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNRQ w GAga - 0 1"] |
| 566 | RNBKNBRQ | rnbknbrq | [FEN "rnbknbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBRQ w GAga - 0 1"] |
| 567 | RNBKNRQB | rnbknrqb | [FEN "rnbknrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNRQB w FAfa - 0 1"] |
| 568 | RBNKBNRQ | rbnkbnrq | [FEN "rbnkbnrq/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNRQ w GAga - 0 1"] |
| 569 | RNKBBNRQ | rnkbbnrq | [FEN "rnkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNRQ w GAga - 0 1"] |
| 570 | RNKNBBRQ | rnknbbrq | [FEN "rnknbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBRQ w GAga - 0 1"] |
| 571 | RNKNBRQB | rnknbrqb | [FEN "rnknbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBRQB w FAfa - 0 1"] |
| 572 | RBNKNRBQ | rbnknrbq | [FEN "rbnknrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNKNRBQ w FAfa - 0 1"] |
| 573 | RNKBNRBQ | rnkbnrbq | [FEN "rnkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/RNKBNRBQ w FAfa - 0 1"] |
| 574 | RNKNRBBQ | rnknrbbq | [FEN "rnknrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNKNRBBQ w EAea - 0 1"] |
| 575 | RNKNRQBB | rnknrqbb | [FEN "rnknrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNRQBB w EAea - 0 1"] |
| 576 | BBQRNKRN | bbqrnkrn | [FEN "bbqrnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKRN w GDgd - 0 1"] |
| 577 | BQRBNKRN | bqrbnkrn | [FEN "bqrbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKRN w GCgc - 0 1"] |
| 578 | BQRNKBRN | bqrnkbrn | [FEN "bqrnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBRN w GCgc - 0 1"] |
| 579 | BQRNKRNB | bqrnkrnb | [FEN "bqrnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKRNB w FCfc - 0 1"] |
| 580 | QBBRNKRN | qbbrnkrn | [FEN "qbbrnkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKRN w GDgd - 0 1"] |
| 581 | QRBBNKRN | qrbbnkrn | [FEN "qrbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKRN w GBgb - 0 1"] |
| 582 | QRBNKBRN | qrbnkbrn | [FEN "qrbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBRN w GBgb - 0 1"] |
| 583 | QRBNKRNB | qrbnkrnb | [FEN "qrbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKRNB w FBfb - 0 1"] |
| 584 | QBRNBKRN | qbrnbkrn | [FEN "qbrnbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKRN w GCgc - 0 1"] |
| 585 | QRNBBKRN | qrnbbkrn | [FEN "qrnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKRN w GBgb - 0 1"] |
| 586 | QRNKBBRN | qrnkbbrn | [FEN "qrnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBRN w GBgb - 0 1"] |
| 587 | QRNKBRNB | qrnkbrnb | [FEN "qrnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBRNB w FBfb - 0 1"] |
| 588 | QBRNKRBN | qbrnkrbn | [FEN "qbrnkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBRNKRBN w FCfc - 0 1"] |
| 589 | QRNBKRBN | qrnbkrbn | [FEN "qrnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QRNBKRBN w FBfb - 0 1"] |
| 590 | QRNKRBBN | qrnkrbbn | [FEN "qrnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QRNKRBBN w EBeb - 0 1"] |
| 591 | QRNKRNBB | qrnkrnbb | [FEN "qrnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKRNBB w EBeb - 0 1"] |
| 592 | BBRQNKRN | bbrqnkrn | [FEN "bbrqnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKRN w GCgc - 0 1"] |
| 593 | BRQBNKRN | brqbnkrn | [FEN "brqbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKRN w GBgb - 0 1"] |
| 594 | BRQNKBRN | brqnkbrn | [FEN "brqnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBRN w GBgb - 0 1"] |
| 595 | BRQNKRNB | brqnkrnb | [FEN "brqnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKRNB w FBfb - 0 1"] |
| 596 | RBBQNKRN | rbbqnkrn | [FEN "rbbqnkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKRN w GAga - 0 1"] |
| 597 | RQBBNKRN | rqbbnkrn | [FEN "rqbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKRN w GAga - 0 1"] |
| 598 | RQBNKBRN | rqbnkbrn | [FEN "rqbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBRN w GAga - 0 1"] |
| 599 | RQBNKRNB | rqbnkrnb | [FEN "rqbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKRNB w FAfa - 0 1"] |
| 600 | RBQNBKRN | rbqnbkrn | [FEN "rbqnbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKRN w GAga - 0 1"] |
| 601 | RQNBBKRN | rqnbbkrn | [FEN "rqnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKRN w GAga - 0 1"] |
| 602 | RQNKBBRN | rqnkbbrn | [FEN "rqnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBRN w GAga - 0 1"] |
| 603 | RQNKBRNB | rqnkbrnb | [FEN "rqnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBRNB w FAfa - 0 1"] |
| 604 | RBQNKRBN | rbqnkrbn | [FEN "rbqnkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQNKRBN w FAfa - 0 1"] |
| 605 | RQNBKRBN | rqnbkrbn | [FEN "rqnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RQNBKRBN w FAfa - 0 1"] |
| 606 | RQNKRBBN | rqnkrbbn | [FEN "rqnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RQNKRBBN w EAea - 0 1"] |
| 607 | RQNKRNBB | rqnkrnbb | [FEN "rqnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKRNBB w EAea - 0 1"] |
| 608 | BBRNQKRN | bbrnqkrn | [FEN "bbrnqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKRN w GCgc - 0 1"] |
| 609 | BRNBQKRN | brnbqkrn | [FEN "brnbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKRN w GBgb - 0 1"] |
| 610 | BRNQKBRN | brnqkbrn | [FEN "brnqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBRN w GBgb - 0 1"] |
| 611 | BRNQKRNB | brnqkrnb | [FEN "brnqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKRNB w FBfb - 0 1"] |
| 612 | RBBNQKRN | rbbnqkrn | [FEN "rbbnqkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKRN w GAga - 0 1"] |
| 613 | RNBBQKRN | rnbbqkrn | [FEN "rnbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKRN w GAga - 0 1"] |
| 614 | RNBQKBRN | rnbqkbrn | [FEN "rnbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBRN w GAga - 0 1"] |
| 615 | RNBQKRNB | rnbqkrnb | [FEN "rnbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKRNB w FAfa - 0 1"] |
| 616 | RBNQBKRN | rbnqbkrn | [FEN "rbnqbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKRN w GAga - 0 1"] |
| 617 | RNQBBKRN | rnqbbkrn | [FEN "rnqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKRN w GAga - 0 1"] |
| 618 | RNQKBBRN | rnqkbbrn | [FEN "rnqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBRN w GAga - 0 1"] |
| 619 | RNQKBRNB | rnqkbrnb | [FEN "rnqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBRNB w FAfa - 0 1"] |
| 620 | RBNQKRBN | rbnqkrbn | [FEN "rbnqkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBNQKRBN w FAfa - 0 1"] |
| 621 | RNQBKRBN | rnqbkrbn | [FEN "rnqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RNQBKRBN w FAfa - 0 1"] |
| 622 | RNQKRBBN | rnqkrbbn | [FEN "rnqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNQKRBBN w EAea - 0 1"] |
| 623 | RNQKRNBB | rnqkrnbb | [FEN "rnqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKRNBB w EAea - 0 1"] |
| 624 | BBRNKQRN | bbrnkqrn | [FEN "bbrnkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQRN w GCgc - 0 1"] |
| 625 | BRNBKQRN | brnbkqrn | [FEN "brnbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BRNBKQRN w GBgb - 0 1"] |
| 626 | BRNKQBRN | brnkqbrn | [FEN "brnkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BRNKQBRN w GBgb - 0 1"] |
| 627 | BRNKQRNB | brnkqrnb | [FEN "brnkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BRNKQRNB w FBfb - 0 1"] |
| 628 | RBBNKQRN | rbbnkqrn | [FEN "rbbnkqrn/pppppppp/8/8/8/8/PPPPPPPP/RBBNKQRN w GAga - 0 1"] |
| 629 | RNBBKQRN | rnbbkqrn | [FEN "rnbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/RNBBKQRN w GAga - 0 1"] |
| 630 | RNBKQBRN | rnbkqbrn | [FEN "rnbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBRN w GAga - 0 1"] |
| 631 | RNBKQRNB | rnbkqrnb | [FEN "rnbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/RNBKQRNB w FAfa - 0 1"] |
| 632 | RBNKBQRN | rbnkbqrn | [FEN "rbnkbqrn/pppppppp/8/8/8/8/PPPPPPPP/RBNKBQRN w GAga - 0 1"] |
| 633 | RNKBBQRN | rnkbbqrn | [FEN "rnkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/RNKBBQRN w GAga - 0 1"] |
| 634 | RNKQBBRN | rnkqbbrn | [FEN "rnkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/RNKQBBRN w GAga - 0 1"] |
| 635 | RNKQBRNB | rnkqbrnb | [FEN "rnkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBRNB w FAfa - 0 1"] |
| 636 | RBNKQRBN | rbnkqrbn | [FEN "rbnkqrbn/pppppppp/8/8/8/8/PPPPPPPP/RBNKQRBN w FAfa - 0 1"] |
| 637 | RNKBQRBN | rnkbqrbn | [FEN "rnkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/RNKBQRBN w FAfa - 0 1"] |
| 638 | RNKQRBBN | rnkqrbbn | [FEN "rnkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNKQRBBN w EAea - 0 1"] |
| 639 | RNKQRNBB | rnkqrnbb | [FEN "rnkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/RNKQRNBB w EAea - 0 1"] |
| 640 | BBRNKRQN | bbrnkrqn | [FEN "bbrnkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBRNKRQN w FCfc - 0 1"] |
| 641 | BRNBKRQN | brnbkrqn | [FEN "brnbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BRNBKRQN w FBfb - 0 1"] |
| 642 | BRNKRBQN | brnkrbqn | [FEN "brnkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BRNKRBQN w EBeb - 0 1"] |
| 643 | BRNKRQNB | brnkrqnb | [FEN "brnkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BRNKRQNB w EBeb - 0 1"] |
| 644 | RBBNKRQN | rbbnkrqn | [FEN "rbbnkrqn/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRQN w FAfa - 0 1"] |
| 645 | RNBBKRQN | rnbbkrqn | [FEN "rnbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/RNBBKRQN w FAfa - 0 1"] |
| 646 | RNBKRBQN | rnbkrbqn | [FEN "rnbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/RNBKRBQN w EAea - 0 1"] |
| 647 | RNBKRQNB | rnbkrqnb | [FEN "rnbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/RNBKRQNB w EAea - 0 1"] |
| 648 | RBNKBRQN | rbnkbrqn | [FEN "rbnkbrqn/pppppppp/8/8/8/8/PPPPPPPP/RBNKBRQN w FAfa - 0 1"] |
| 649 | RNKBBRQN | rnkbbrqn | [FEN "rnkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/RNKBBRQN w FAfa - 0 1"] |
| 650 | RNKRBBQN | rnkrbbqn | [FEN "rnkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/RNKRBBQN w DAda - 0 1"] |
| 651 | RNKRBQNB | rnkrbqnb | [FEN "rnkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/RNKRBQNB w DAda - 0 1"] |
| 652 | RBNKRQBN | rbnkrqbn | [FEN "rbnkrqbn/pppppppp/8/8/8/8/PPPPPPPP/RBNKRQBN w EAea - 0 1"] |
| 653 | RNKBRQBN | rnkbrqbn | [FEN "rnkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/RNKBRQBN w EAea - 0 1"] |
| 654 | RNKRQBBN | rnkrqbbn | [FEN "rnkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/RNKRQBBN w DAda - 0 1"] |
| 655 | RNKRQNBB | rnkrqnbb | [FEN "rnkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/RNKRQNBB w DAda - 0 1"] |
| 656 | BBRNKRNQ | bbrnkrnq | [FEN "bbrnkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKRNQ w FCfc - 0 1"] |
| 657 | BRNBKRNQ | brnbkrnq | [FEN "brnbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKRNQ w FBfb - 0 1"] |
| 658 | BRNKRBNQ | brnkrbnq | [FEN "brnkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BRNKRBNQ w EBeb - 0 1"] |
| 659 | BRNKRNQB | brnkrnqb | [FEN "brnkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BRNKRNQB w EBeb - 0 1"] |
| 660 | RBBNKRNQ | rbbnkrnq | [FEN "rbbnkrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRNQ w FAfa - 0 1"] |
| 661 | RNBBKRNQ | rnbbkrnq | [FEN "rnbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/RNBBKRNQ w FAfa - 0 1"] |
| 662 | RNBKRBNQ | rnbkrbnq | [FEN "rnbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/RNBKRBNQ w EAea - 0 1"] |
| 663 | RNBKRNQB | rnbkrnqb | [FEN "rnbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/RNBKRNQB w EAea - 0 1"] |
| 664 | RBNKBRNQ | rbnkbrnq | [FEN "rbnkbrnq/pppppppp/8/8/8/8/PPPPPPPP/RBNKBRNQ w FAfa - 0 1"] |
| 665 | RNKBBRNQ | rnkbbrnq | [FEN "rnkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/RNKBBRNQ w FAfa - 0 1"] |
| 666 | RNKRBBNQ | rnkrbbnq | [FEN "rnkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/RNKRBBNQ w DAda - 0 1"] |
| 667 | RNKRBNQB | rnkrbnqb | [FEN "rnkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/RNKRBNQB w DAda - 0 1"] |
| 668 | RBNKRNBQ | rbnkrnbq | [FEN "rbnkrnbq/pppppppp/8/8/8/8/PPPPPPPP/RBNKRNBQ w EAea - 0 1"] |
| 669 | RNKBRNBQ | rnkbrnbq | [FEN "rnkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RNKBRNBQ w EAea - 0 1"] |
| 670 | RNKRNBBQ | rnkrnbbq | [FEN "rnkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/RNKRNBBQ w DAda - 0 1"] |
| 671 | RNKRNQBB | rnkrnqbb | [FEN "rnkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/RNKRNQBB w DAda - 0 1"] |
| 672 | BBQRKNNR | bbqrknnr | [FEN "bbqrknnr/pppppppp/8/8/8/8/PPPPPPPP/BBQRKNNR w HDhd - 0 1"] |
| 673 | BQRBKNNR | bqrbknnr | [FEN "bqrbknnr/pppppppp/8/8/8/8/PPPPPPPP/BQRBKNNR w HChc - 0 1"] |
| 674 | BQRKNBNR | bqrknbnr | [FEN "bqrknbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRKNBNR w HChc - 0 1"] |
| 675 | BQRKNNRB | bqrknnrb | [FEN "bqrknnrb/pppppppp/8/8/8/8/PPPPPPPP/BQRKNNRB w GCgc - 0 1"] |
| 676 | QBBRKNNR | qbbrknnr | [FEN "qbbrknnr/pppppppp/8/8/8/8/PPPPPPPP/QBBRKNNR w HDhd - 0 1"] |
| 677 | QRBBKNNR | qrbbknnr | [FEN "qrbbknnr/pppppppp/8/8/8/8/PPPPPPPP/QRBBKNNR w HBhb - 0 1"] |
| 678 | QRBKNBNR | qrbknbnr | [FEN "qrbknbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBKNBNR w HBhb - 0 1"] |
| 679 | QRBKNNRB | qrbknnrb | [FEN "qrbknnrb/pppppppp/8/8/8/8/PPPPPPPP/QRBKNNRB w GBgb - 0 1"] |
| 680 | QBRKBNNR | qbrkbnnr | [FEN "qbrkbnnr/pppppppp/8/8/8/8/PPPPPPPP/QBRKBNNR w HChc - 0 1"] |
| 681 | QRKBBNNR | qrkbbnnr | [FEN "qrkbbnnr/pppppppp/8/8/8/8/PPPPPPPP/QRKBBNNR w HBhb - 0 1"] |
| 682 | QRKNBBNR | qrknbbnr | [FEN "qrknbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRKNBBNR w HBhb - 0 1"] |
